Title,MapType,MatchMode,Priority,OutputCode,FolderName,Active
2027-09-18,FiscalWeek,Token,0,2027-W33,,Yes
2027-09-25,FiscalWeek,Token,0,2027-W34,,Yes
2027-10-02,FiscalWeek,Token,0,2027-W35,,Yes
2027-10-09,FiscalWeek,Token,0,2027-W36,,Yes
2027-10-16,FiscalWeek,Token,0,2027-W37,,Yes
2027-10-23,FiscalWeek,Token,0,2027-W38,,Yes
2027-10-30,FiscalWeek,Token,0,2027-W39,,Yes
2027-11-06,FiscalWeek,Token,0,2027-W40,,Yes
2027-11-13,FiscalWeek,Token,0,2027-W41,,Yes
2027-11-20,FiscalWeek,Token,0,2027-W42,,Yes
2027-11-27,FiscalWeek,Token,0,2027-W43,,Yes
2027-12-04,FiscalWeek,Token,0,2027-W44,,Yes
2027-12-11,FiscalWeek,Token,0,2027-W45,,Yes
2027-12-18,FiscalWeek,Token,0,2027-W46,,Yes
2027-12-25,FiscalWeek,Token,0,2027-W47,,Yes
2028-01-01,FiscalWeek,Token,0,2027-W48,,Yes
2028-01-08,FiscalWeek,Token,0,2027-W49,,Yes
2028-01-15,FiscalWeek,Token,0,2027-W50,,Yes
2028-01-22,FiscalWeek,Token,0,2027-W51,,Yes
2028-01-29,FiscalWeek,Token,0,2027-W52,,Yes
2028-02-05,FiscalWeek,Token,0,2028-W01,,Yes
2028-02-12,FiscalWeek,Token,0,2028-W02,,Yes
2028-02-19,FiscalWeek,Token,0,2028-W03,,Yes
2028-02-26,FiscalWeek,Token,0,2028-W04,,Yes
2028-03-04,FiscalWeek,Token,0,2028-W05,,Yes
2028-03-11,FiscalWeek,Token,0,2028-W06,,Yes
2028-03-18,FiscalWeek,Token,0,2028-W07,,Yes
2028-03-25,FiscalWeek,Token,0,2028-W08,,Yes
2028-04-01,FiscalWeek,Token,0,2028-W09,,Yes
2028-04-08,FiscalWeek,Token,0,2028-W10,,Yes
2028-04-15,FiscalWeek,Token,0,2028-W11,,Yes
2028-04-22,FiscalWeek,Token,0,2028-W12,,Yes
2028-04-29,FiscalWeek,Token,0,2028-W13,,Yes
2028-05-06,FiscalWeek,Token,0,2028-W14,,Yes
2028-05-13,FiscalWeek,Token,0,2028-W15,,Yes
2028-05-20,FiscalWeek,Token,0,2028-W16,,Yes
2028-05-27,FiscalWeek,Token,0,2028-W17,,Yes
2028-06-03,FiscalWeek,Token,0,2028-W18,,Yes
2028-06-10,FiscalWeek,Token,0,2028-W19,,Yes
2028-06-17,FiscalWeek,Token,0,2028-W20,,Yes
2028-06-24,FiscalWeek,Token,0,2028-W21,,Yes
2028-07-01,FiscalWeek,Token,0,2028-W22,,Yes
